"Mygento Extensions","Расширения Mygento"
"Enabled","Включено"
"Debug","Отладка"
"Settings","Настройки"
"Add Category","Добавить категорию"
"Save Item","Сохранить"
"Delete Item","Удалить"
"Item information","Информация"
"Edit","Редактировать"
"Save And Continue Edit","Сохранить и продолжить редактирование"
"Export YML Pro","Экспорт в Яндекс Маркет Pro"
"Export Yandex Market Pro","Экспорт в Яндекс Маркет Pro"
"Enabled for complete catalog","Включен полный каталог"
"Cron","Планировщик Cron"
"Cron for complete catalog","Включен планировщик для полного каталога"
"Use GNU ZIP compression","Использовать сжатие GNU ZIP"
"Use authentication","Использовать авторизацию"
"Login","Логин"
"Password","Пароль"
"Enable per category","Выгрузка по категориям"
"Only export enabled categories will be used,ignoring export disabled products","Будут выгружаться только товары во включенных категориях, игнорируя индивидуальные настройки товара"
"Use current website name","Использовать текущее название сайта"
"Sitename","Название сайта"
"Use current phone number","Использовать текущий номер телефона"
"Will be used Store Information's Phone","Будет использовать номер из информации о магазине"
"Phone","Телефон"
"Company name","Наименование компании"
"Agency","Техническое агенство"
"Technical support e-mail","Технический адрес почты"
"Manage Categories","Управление категориями"
"Manage Categories [BETA]","Управление категориями [БЕТА]"
"Yandex Market Pro","Яндекс Маркет Pro"
"Yandex Market Category Export Manager","Менеджер категорий выгрузки в Яндекс Маркет"
"bid","Основная ставка (bid)"
"cbid","Cтавка для карточек (cbid)"
"store","Возможность покупки в розничном магазине"
"pickup","Возможность самовывоза"
"delivery","Возможность доставки"
"local_delivery_cost","Стоимость доставки в своем регионе"
"sales_notes","Sales Notes"
"manufacturer_warranty","Гарантия производителя"
"CMS Category","Категория"
"Change status","Изменить статус"
"Change Sales Notes","Изменить sales notes"
"Change Local Delivery","Изменить стоймость местной доставки"
"Change cbid","Изменить Сbid"
"Change bid","Изменить bid"
"Sync Categories","Синхронизация категорий"
"Categories were synced","Категории синхронизированы"
"Attribute Settings","Настройка аттрибутов"
"No usage","Не используется"
"Vendor","Производитель"
"Model","Модель"
"Vendor Code","Код товара"
"Barcode","Штрихкод"
"Colour","Цвет"
"Manufacturer code","код установленный производителем"
"Manufacturer barcode","штрихкод установленный производителем"
"Regeneration timeout","Период ренегерации"
"in seconds","в секундах"
"Disable Live Generation","Запретить генерацию на-лету"
"Disable Live Generation For Full","Запретить генерацию на-лету для полного каталога"
"Mygento ExportYML PRO version: %s","Mygento Яндекс Маркет. Pro версия: %s"
"Module Page","Страница модуля"
"Minimal exporting price","Минимальная цена выгружаемых позиций"
"Catalog Settings","Настройки каталога"
"Category's default settings","Настройки по умолчанию для категории [Режим выгрузки по категориям]"
"Store","Наличие точки продаж"
"Delivery","Возможность доставки товара"
"Pickup","Наличие самовывоза"
"Use default","По умолчанию"
"Recommended Magento settings","Рекоммендуемые параметры Magento"
"Adult","Товары для взрослых"
"Image attribute","Атрибут выгрузки картинок"
"The YML cache was cleaned","Кэш YML файлов очищен"
"Pregenerated Yandex Export YML files","Сгенерированные текущие версии YML файлов"
"Flush YML files","Очистить кеш YML файлов"
"Currency Settings","Настройки валюты"
"UTM Codes","UTM метки"
"UTM source","UTM источник"
"UTM campaign","UTM кампания"
"UTM medium","UTM medium"
"Global","Как у товара"
